taxonID,typeStatus,scientificName,sex,locality,verbatimLatitude,verbatimLongitude,institutionCode,catalogNumber,recordedBy,verbatimEventDate,typeDesignatedBy
1153790,"typeGenus","Amphinemurinae Baumann, 1975",,,,,,,,,"Baumann. 1975. Revision of the stonefly family Nemouridae (Plecoptera): a study of the world fauna at the generic level. Smithsonian Contributions to Zoology (Smithson.Contrib.Zool.) 211:1-74"
1154418,"typeGenus","Notonemourinae Ricker, 1950",,,,,,,,,"Ricker. 1950. Some evolutionary trends in Plecoptera. Proceedings of the Indiana Academy of Science (Proc. Ind. Acad. Sci.) 59:197-209"
1154811,"typeGenus","Capnini Banks, 1900",,,,,,,,,"Banks. 1900[1899]. New genera and species of Nearctic Neuropteroid Insects. Transactions of the American Entomological Society (Trans.Amer.Ent.Soc.) 26(3):239-259"
1154812,"typeGenus","Leuctridae Klapálek, 1905",,,,,,,,,"Klapálek. 1905. Conspectus Plecopterorum Bohemiae. Casopis Ceskoslovenské Spolecnosti Entomologické (Cas. ces. Spol. ent.) 2:27-32"
1154815,"typeGenus","Megaleuctrinae Zwick, 1973",,,,,,,,,"Zwick, Peter. 1973. Insecta: Plecoptera Phylogenetisches System und Katalog. Das Tierreich – Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen. (Das Tierreich) 94:465 pp."
1155286,"typeGenus","Taeniopterygidae Klapálek, 1905",,,,,,,,,"Klapálek. 1905. Conspectus Plecopterorum Bohemiae. Casopis Ceskoslovenské Spolecnosti Entomologické (Cas. ces. Spol. ent.) 2:27-32"
1155473,"typeGenus","Brachypterinae Zwick, 1973",,,,,,,,,"Zwick, Peter. 1973. Insecta: Plecoptera Phylogenetisches System und Katalog. Das Tierreich – Eine Zusammenstellung und Kennzeichnung der rezenten Tierformen. (Das Tierreich) 94:465 pp."
1155474,"typeGenus","Palaeonemouridae† Sinitshenkova, 1987",,,,,,,,,"Sinitshenkova. 1987. Istoricheskoe razvitie vesnyanok [Historical development of stoneflies.]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 221:1-144"
1155521,"typeGenus","Mesoleuctrinae Sinitshenkova, 1982",,,,,,,,,"Sinitshenkova. 1982. Systematic position of Jurassic Plecoptera Mesoleuctra gracilis Br., Redt., Gangl. and Platyperla platypoda Br., Redt., Gangl. and their stratigraphic range. Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Geologicheskii (Byul.Moskov.Obshch.Ispyt.Prir.Otd.Geol.) 57(4):112-120"
1155534,"typeGenus","Pronemouridae† Liu, Sinitshenkova & Ren, 2011",,,,,,,,,"Liu, Sinitshenkova & Ren. 2011. In Liu, Sinitshenkova, Ren & Shih. Pronemouridae fam. nov. (Insecta: Plecoptera), the stem group of nemouridae and notonemouridae, from the Middle Jurassic of Inner Mongolia, China. Palaeontology 54(4)"
1155545,"typeGenus","Scopuridae Uéno, 1935",,,,,,,,,"Uéno. 1935. In Uéno & Miyagi. Plecoptera. Aquatic animals of the Azusa-gawa River system and Kamikochi., Iwanami, Tokyo 31-50"
1155563,"typeGenus","Tshekardoperlidae† Sinitshenkova, 1987",,,,,,,,,"Sinitshenkova. 1987. Istoricheskoe razvitie vesnyanok [Historical development of stoneflies.]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 221:1-144"
1155603,"typeGenus","Paraperlinae Ricker, 1943",,,,,,,,,"Ricker. 1943. Stoneflies of southwestern British Columbia. Indiana University Publications Science Series (Ind.Univ.Pub.Sci.Ser.) 12:1-145"
1155617,"typeGenus","Chloroperlinae Okamoto, 1912",,,,,,,,,"Okamoto. 1912. Erster Beitrag zur Kenntnis der Japanischen Plecopteren. Transactions of the Sapporo Natural History Society (Trans. Sapporo. Nat. Hist. Soc.) 4:105-170"
1155618,"typeGenus","Alloperlini Surdick, 1985",,,,,,,,,"Surdick. 1985. Nearctic genera of Chloroperlinae (Plecoptera: Chloroperlidae). Illinois Biological Monographs (Ill. Biol. Monogr.) 54:1-146"
1155835,"typeGenus","Suwalliini Surdick, 1985",,,,,,,,,"Surdick. 1985. Nearctic genera of Chloroperlinae (Plecoptera: Chloroperlidae). Illinois Biological Monographs (Ill. Biol. Monogr.) 54:1-146"
1155870,"typeGenus","Neoperlinae Enderlein, 1909",,,,,,,,,"Enderlein. 1909. Klassifikation der Plecopteren sowie Diagnosen neurer Gattungen und Arten. Zoologischer Anzeiger (Zool. Anz.) 34:385-419"
1156264,"typeGenus","Claasseniini Sivec, Stark & Uchida, 1988",,,,,,,,,"Sivec, Stark & Uchida. 1988. Synopsis of the world genera of Perlinae (Plecoptera: Perlidae). Scopolia 16:1-66"
1156642,"typeGenus","Acroneuriinae Klapálek, 1914",,,,,,,,,"Klapálek. 1914. Analytická tabulka fam. Perlidae a její dvou subfam., Perlinae a Acroneuriinae (Plecoptera). Casopis Ceskoslovenské Spolecnosti Entomologické (Cas. ces. Spol. ent.) 11:53-69"
1156643,"typeGenus","Anacroneuriini Stark & Gaufin, 1976",,,,,,,,,"Stark & Gaufin. 1976. The Nearctic genera of Perlidae (Plecoptera). Miscellaneous Publications of the entomological Society of America (Misc.Publs.ent.Soc.Am.) 10(1):1-77"
1157345,"typeGenus","Perlariae Latreille, 1802",,,,,,,,,"Latreille. 1802. Families naturelles et genres. Histoire naturelle, générale et particulière des crustacés et des insectes : ouvrage faisant suite aux oeuvres de Leclerc de Buffon, et partie du cours complet d'histoire naturelle rédigé, F. Dufart, Paris 3:467 pp."
1157347,"typeGenus","Perlodidae Klapálek, 1909",,,,,,,,,"Klapálek. 1909. In Klapálek & Grunberg. Hft. 8. Ephemerida, Plecoptera, Lepidoptera. In Brauer, A. II. Plecoptera, Steinfliegen. Die Süsswasserfauna Deutschlands. Eine Exkursionsfauna, Verlag von Gustav Fischer, Jena 33-95, 160-163, 124 fig."
1157348,"typeGenus","Isoperlidae Frison, 1942",,,,,,,,,"Frison. 1942. Studies of North American Plecoptera, With Special Reference to the Fauna of Illinois. Illinois Natural History Survey Bulletin (Ill.Nat.Hist.Surv.Bull.) 22(2):235-355"
1157428,"typeGenus","Arcynopteryginae Ricker & Scudder, 1975",,,,,,,,,"Ricker & Scudder. 1975. An Annotated Checklist of the Plecoptera (Insecta) of British Columbia. Syesis 8:333-348"
1157583,"typeGenus","Diploperlini Stark & Szczytko, 1984",,,,,,,,,"Stark & Szczytko. 1984. Egg morphology and classification of Perlodinae (Plecoptera: Perlodidae). Annales de Limnologie (Ann. Limnol.) 20:99-104"
1157894,"typeGenus","Palaeoperlidae† Sharov, 1961",,,,,,,,,"Sharov. 1961. In Rohdendorf, Becker-Migdisova, Martynova & Sharov. Paleozojskie nasekomye kuznetskogo bassejna [Paleozoic insects of the Kuznetsk basin]. Otryad Plecoptera [Order Plecoptera]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 85:225-234, text-fig. 166-175, pl. 19"
