taxonID,acceptedNameUsageID,parentNameUsageID,scientificName,scientificNameAuthorship,taxonRank,taxonomicStatus,nomenclaturalStatus,namePublishedIn,taxonRemarks,modified
1156854,1156854,1156644,"Anacroneuria makushi","Stark, 1999","species","valid",,"Stark. 1999. Anacroneuria from northeastern South America (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 112(1):70-93",,"2013-07-20T16:40:00"
1156855,1156855,1156644,"Anacroneuria manauensis","Ribeiro-Ferreira, 2001","species","valid",,"Ribeiro-Ferreira. 2001. In Ribeiro-Ferreira & Froehlich. Anacroneuria Klapalek, 1909 from Amazonas State, north Brazil (Plecoptera, Perlidae, Acroneuriinae). Aquatic Insects 23(3)",,"2013-07-20T16:40:00"
1156856,1156856,1156644,"Anacroneuria marca","Stark, 1998","species","valid",,"Stark. 1998. The Anacroneuria of Costa Rica and Panama (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 111(3):551-603",,"2013-07-20T16:40:00"
1156857,1156857,1156644,"Anacroneuria marginata","Stark, 1998","species","valid",,"Stark. 1998. The Anacroneuria of Costa Rica and Panama (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 111(3):551-603",,"2013-07-20T16:40:00"
1156858,1156858,1156644,"Anacroneuria maritza","Stark, 1998","species","valid",,"Stark. 1998. The Anacroneuria of Costa Rica and Panama (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 111(3):551-603",,"2013-07-20T16:40:00"
1156859,1156859,1156644,"Anacroneuria marlieri","Froehlich, 2001","species","valid",,"Froehlich. 2001. In Ribeiro-Ferreira & Froehlich. Anacroneuria Klapalek, 1909 from Amazonas State, north Brazil (Plecoptera, Perlidae, Acroneuriinae). Aquatic Insects 23(3)",,"2013-07-20T16:40:00"
1156860,1156860,1156644,"Anacroneuria marta","Zúñiga & Stark, 2002","species","valid",,"Zúñiga & Stark. 2002. New species and records of Colombian Anacroneuria (Insecta, Plecoptera, Perlidae). Spixiana 25(3):209-224",,"2013-07-20T16:40:00"
1156861,1156861,1156644,"Anacroneuria menuda","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156862,1156862,1156644,"Anacroneuria meta","Stark & Zúñiga, 1999","species","valid",,"Stark & Zúñiga. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156863,1156863,1156644,"Anacroneuria minuta","Klapálek, 1922","species","valid",,"Klapálek. 1922. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 62:89-95","Redescription Ribeiro Ferreira & Froehlich 2001 p.188","2013-07-20T16:40:00"
1156864,1156864,1156644,"Anacroneuria moche","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156865,1156865,1156644,"Anacroneuria mochica","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156866,1156866,1156644,"Anacroneuria morena","Stark & Zúñiga, 1999","species","valid",,"Stark & Zúñiga. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156867,1156867,1156644,"Anacroneuria morio","(Pictet, 1841)","species","invalid","dubimum","Pictet, François Jules. 1841. Familie des Perlides. Histoire naturelle générale et particulière des insectes névroptères, J. Kessmann etc.,, Genève 1:1-423, 53 pl.",,"2013-07-20T16:40:00"
1156868,1156868,1156644,"Anacroneuria muesca","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156869,1156869,1156644,"Anacroneuria munchique","Zúñiga & Stark, 2002","species","valid",,"Zúñiga & Stark. 2002. New species and records of Colombian Anacroneuria (Insecta, Plecoptera, Perlidae). Spixiana 25(3):209-224",,"2013-07-20T16:40:00"
1156870,1156870,1156644,"Anacroneuria naomi","Needham & Broughton, 1927","species","valid",,"Needham & Broughton. 1927. Central American stoneflies, with descriptions of new species (Plecoptera). Journal of the New York Entomological Society (J. N. Y. Entomol. Soc.) 35(2):109-120 + 1 pl.",,"2013-07-20T16:40:00"
1156871,1156871,1156644,"Anacroneuria nazca","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156872,1156872,1156644,"Anacroneuria nigrocincta","(Pictet, 1841)","species","valid",,"Pictet, François Jules. 1841. Familie des Perlides. Histoire naturelle générale et particulière des insectes névroptères, J. Kessmann etc.,, Genève 1:1-423, 53 pl.","Zwick 1972","2013-07-20T16:40:00"
1156873,1156873,1156644,"Anacroneuria nigrolineata","Jewett, 1958","species","valid",,"Jewett. 1958. Stoneflies of the genus Anacroneuria from Mexico and Central America (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 60(1):159-175",,"2013-07-20T16:40:00"
1156874,1156874,1156644,"Anacroneuria novateutonia","Jewett, 1959","species","valid",,"Jewett. 1959. Some stoneflies from Santa Catarina, Brazil (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 61(1):148-161",,"2013-07-20T16:40:00"
1156875,1156875,1156644,"Anacroneuria ochracea","Klapálek, 1923","species","invalid","dubimum","Klapálek. 1923. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 63:21-29",,"2013-07-20T16:40:00"
1156876,1156876,1156644,"Anacroneuria oculatila","Jewett, 1959","species","valid",,"Jewett. 1959. Some stoneflies from Santa Catarina, Brazil (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 61(1):148-161",,"2013-07-20T16:40:00"
1156877,1156877,1156644,"Anacroneuria oreja","Zúñiga & Stark, 1999","species","valid",,"Zúñiga & Stark. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156878,1156878,1156644,"Anacroneuria pacaje","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156879,1156879,1156644,"Anacroneuria pachacuti","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156880,1156880,1156644,"Anacroneuria pacifica","Rojas & Baena, 1999","species","valid",,"Rojas & Baena. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156881,1156881,1156644,"Anacroneuria paez","Zúñiga & Stark, 1999","species","valid",,"Zúñiga & Stark. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156882,1156882,1156644,"Anacroneuria pakitza","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156883,1156883,1156644,"Anacroneuria paleta","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156884,1156884,1156644,"Anacroneuria pallens","Klapálek, 1922","species","valid",,"Klapálek. 1922. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 62:89-95",,"2013-07-20T16:40:00"
1156885,1156885,1156644,"Anacroneuria pallida","Jewett, 1958","species","valid",,"Jewett. 1958. Stoneflies of the genus Anacroneuria from Mexico and Central America (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 60(1):159-175",,"2013-07-20T16:40:00"
1156886,1156886,1156644,"Anacroneuria paria","Stark, 1999","species","valid",,"Stark. 1999. Anacroneuria from northeastern South America (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 112(1):70-93",,"2013-07-20T16:40:00"
1156887,1156887,1156644,"Anacroneuria parilobata","Klapálek, 1922","species","valid",,"Klapálek. 1922. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 62:89-95",,"2013-07-20T16:40:00"
1156888,1156888,1156644,"Anacroneuria parva","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156889,1156889,1156644,"Anacroneuria pastaza","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156890,1156890,1156644,"Anacroneuria pehlkei","(Enderlein, 1909)","species","valid",,"Enderlein. 1909. Plecopterologische Studien. I. Neue und ungenügend bekannte Neoperla-Arten. Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin (Sitzungsber. Ges. Naturforsch. Freunde Berlin) 3:161-178","Zwick in database mentions Pseudoperla. Check to see if Illies (1966) used this combination for the species.","2013-07-20T16:40:00"
1156891,1156891,1156644,"Anacroneuria pellucida","Klapálek, 1922","species","valid",,"Klapálek. 1922. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 62:89-95",,"2013-07-20T16:40:00"
1156892,1156892,1156644,"Anacroneuria pequena","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156893,1156893,1156644,"Anacroneuria perija","Stark, 1999","species","valid",,"Stark. 1999. Anacroneuria from northeastern South America (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 112(1):70-93",,"2013-07-20T16:40:00"
1156894,1156894,1156644,"Anacroneuria perplexa","Stark, 1998","species","valid",,"Stark. 1998. The Anacroneuria of Costa Rica and Panama (Insecta: Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 111(3):551-603",,"2013-07-20T16:40:00"
1156895,1156895,1156644,"Anacroneuria perpusilla","Klapálek, 1921","species","valid",,"Klapálek. 1921. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 61:320-327",,"2013-07-20T16:40:00"
1156896,1156896,1156644,"Anacroneuria petersi","Froehlich, 2002","species","valid",,"Froehlich. 2002. Anacroneuria mainly from southern Brazil and northeastern Argentina (Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 115(1):75-107",,"2013-07-20T16:40:00"
1156897,1156897,1156644,"Anacroneuria phantoma","(Banks, 1914)","species","valid",,"Banks. 1914. New neuropteroid insects, native and exotic. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Phila.) 66:608-633",,"2013-07-20T16:40:00"
1156898,1156898,1156644,"Anacroneuria pictipes","Klapálek, 1923","species","valid",,"Klapálek. 1923. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 63:21-29","Redescription by Stark 1999 p.83","2013-07-20T16:40:00"
1156899,1156899,1156644,"Anacroneuria pinza","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156900,1156900,1156644,"Anacroneuria planada","Baena & Rojas, 1999","species","valid",,"Baena & Rojas. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156901,1156901,1156644,"Anacroneuria planicollis","Klapálek, 1923","species","valid",,"Klapálek. 1923. Plécoptères nouveaux. Annales de la Société Entomologique de Belgique (Ann. Soc. ent. Belg.) 63:21-29",,"2013-07-20T16:40:00"
1156902,1156901,1156644,"Anacroneuria dampfi","Jewett, 1958","species","junior synonym",,"Jewett. 1958. Stoneflies of the genus Anacroneuria from Mexico and Central America (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 60(1):159-175",,"2013-07-20T16:40:00"
1156903,1156901,1156644,"Anacroneuria chiapasa","Jewett, 1958","species","junior synonym",,"Jewett. 1958. Stoneflies of the genus Anacroneuria from Mexico and Central America (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 60(1):159-175",,"2013-07-20T16:40:00"
1156904,1156904,1156644,"Anacroneuria plaumanni","Jewett, 1959","species","valid",,"Jewett. 1959. Some stoneflies from Santa Catarina, Brazil (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 61(1):148-161",,"2013-07-20T16:40:00"
1156905,1156904,1156644,"Anacroneuria ampla","Jewett, 1959","species","junior synonym",,"Jewett. 1959. Some stoneflies from Santa Catarina, Brazil (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 61(1):148-161",,"2013-07-20T16:40:00"
1156906,1156906,1156644,"Anacroneuria plutonis","(Banks, 1914)","species","valid",,"Banks. 1914. New neuropteroid insects, native and exotic. Proceedings of the Academy of Natural Sciences of Philadelphia (Proc. Acad. Nat. Sci. Phila.) 66:608-633","Redescription Stark 1998 p.583","2013-07-20T16:40:00"
1156907,1156906,1156644,"Forquilla tristani","(Navás, 1932)","species","junior synonym",,"Navás. 1932. Alcuni insetti del Museo di Zoologia della R. Università di Torino. Plecoptera. Bolletino dei Musei di Zoologia ed Anatomia Comparata dell’Universita di Torino (Boll. Mus. Zool. Anat. Comp. Univ. Torino) 3 42(26):1-32","Check this one out in Illies 1966","2013-07-20T16:40:00"
1156908,1156908,1156644,"Anacroneuria polita","(Burmeister, 1839)","species","valid",,"Burmeister. 1839. Zweite Halfte. Neuroptera. Handbuch der Entomologie, Reimer, Berlin 2(2):I-XII + 757-1050","Zwick 1972","2013-07-20T16:40:00"
1156909,1156909,1156644,"Anacroneuria portilla","Stark & Rojas, 1999","species","valid",,"Stark & Rojas. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156910,1156910,1156644,"Anacroneuria puna","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156911,1156911,1156644,"Anacroneuria quadriloba","Jewett, 1958","species","valid",,"Jewett. 1958. Stoneflies of the genus Anacroneuria from Mexico and Central America (Plecoptera). American Midland Naturalist (Am. Midl. Nat.) 60(1):159-175",,"2013-07-20T16:40:00"
1156912,1156912,1156644,"Anacroneuria quechua","Stark & Sivec, 1998","species","valid",,"Stark & Sivec. 1998. Anacroneuria of Peru and Bolivia (Plecoptera: Perlidae). Scopolia 40:1-64",,"2013-07-20T16:40:00"
1156913,1156913,1156644,"Anacroneuria quijo","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156914,1156914,1156644,"Anacroneuria quilla","Stark & Zúñiga, 1999","species","valid",,"Stark & Zúñiga. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156915,1156915,1156644,"Anacroneuria rawlinsi","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156916,1156916,1156644,"Anacroneuria regleta","Stark & Rojas, 1999","species","valid",,"Stark & Rojas. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156917,1156917,1156644,"Anacroneuria ricki","Zúñiga & Stark, 2002","species","valid",,"Zúñiga & Stark. 2002. New species and records of Colombian Anacroneuria (Insecta, Plecoptera, Perlidae). Spixiana 25(3):209-224",,"2013-07-20T16:40:00"
1156918,1156918,1156644,"Anacroneuria rondoniae","Froehlich, 2002","species","valid",,"Froehlich. 2002. Anacroneuria mainly from southern Brazil and northeastern Argentina (Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 115(1):75-107",,"2013-07-20T16:40:00"
1156919,1156919,1156644,"Anacroneuria rosita","Stark & Rojas, 1999","species","valid",,"Stark & Rojas. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156920,1156920,1156644,"Anacroneuria rugosa","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156921,1156921,1156644,"Anacroneuria saltensis","Froehlich, 2002","species","valid",,"Froehlich. 2002. Anacroneuria mainly from southern Brazil and northeastern Argentina (Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 115(1):75-107",,"2013-07-20T16:40:00"
1156922,1156922,1156644,"Anacroneuria segnini","Stark & Maldonado, 2002","species","valid",,"Stark & Maldonado. 2002. In Maldonado, Stark & Cressa. Descriptions and records of Anacroneuria from Venezuela (Plecoptera: Perlidae). Aquatic Insects 24(3)",,"2013-07-20T16:40:00"
1156923,1156923,1156644,"Anacroneuria shamatari","Stark, 1995","species","valid",,"Stark. 1995. New species and records of Anacroneuria (Klapalek) from Venezuela (Insecta, Plecoptera, Perlidae). Spixiana 18(3):211-249",,"2013-07-20T16:40:00"
1156924,1156924,1156644,"Anacroneuria socapa","Stark & Zúñiga, 1999","species","valid",,"Stark & Zúñiga. 1999. In Stark, Zúñiga, Rojas & Baena. Colombian Anacroneuria: descriptions of new and old species (Insecta, Plecoptera, Perlidae). Spixiana 22(1)",,"2013-07-20T16:40:00"
1156925,1156925,1156644,"Anacroneuria spangleri","Stark, 2001","species","valid",,"Stark. 2001. Records and descriptions of Anacroneuria from Ecuador (Plecoptera: Perlidae). Scopolia 46:1-42",,"2013-07-20T16:40:00"
1156926,1156926,1156644,"Anacroneuria stanjewetti","Froehlich, 2002","species","valid",,"Froehlich. 2002. Anacroneuria mainly from southern Brazil and northeastern Argentina (Plecoptera: Perlidae). Proceedings of the Biological Society of Washington (Proc.Biol.Soc.Wash.) 115(1):75-107",,"2013-07-20T16:40:00"
1156927,1156927,1156644,"Anacroneuria starki","Fenoglio & Morisi, 2002","species","valid",,"Fenoglio & Morisi. 2002[2001]. Anacroneuria starki, a new species from Nicaragua (Plecoptera: Perlidae). Aquatic Insects 23:311-314",,"2013-07-20T16:40:00"
