taxonID	parentNameUsageID	parentNameUsage	acceptedNameUsageID	acceptedNameUsage	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsage	originalNameUsageID	namePublishedInYear	nomenclaturalCode
429816			429816	Aphaenogaster Mayr, 1853	Aphaenogaster	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Mayr, 1853	valid		429816	1853	ICZN
429613		Attini Smith, 1858	429613	Atta Fabricius, 1804	Atta	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Fabricius, 1804	valid		429613	1804	ICZN
431072	429816	Aphaenogaster Mayr, 1853	431072	Aphaenogaster curiosa Santschi, 1933	Aphaenogaster curiosa	Animalia	Insecta	Hymenoptera	Formicidae	Aphaenogaster		curiosa		Species	Santschi, 1933	valid	Aphaenogaster gemella curiosa Santschi, 1933	510492	1933	ICZN
431117	429816	Aphaenogaster Mayr, 1853	431117	Aphaenogaster gemella (Roger, 1862)	Aphaenogaster gemella	Animalia	Insecta	Hymenoptera	Formicidae	Aphaenogaster		gemella		Species	(Roger, 1862)	valid	Atta gemella Roger, 1862	456634	1862	ICZN
456634	429613	Atta Fabricius, 1804	431117	Aphaenogaster gemella (Roger, 1862)	Atta gemella	Animalia	Insecta	Hymenoptera	Formicidae	Atta		gemella		Species	Roger, 1862	obsolete combination	Atta gemella Roger, 1862	456634	1862	ICZN
510492	431117	Aphaenogaster gemella (Roger, 1862)	431072	Aphaenogaster curiosa Santschi, 1933	Aphaenogaster gemella curiosa	Animalia	Insecta	Hymenoptera	Formicidae	Aphaenogaster		gemella	curiosa	Subspecies	Santschi, 1933	obsolete combination	Aphaenogaster gemella curiosa Santschi, 1933	510492	1933	ICZN
