taxonID	parentNameUsageID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsageID	namePublishedInYear	nomenclaturalCode	TW:TaxonNameClassification:Latinized:Gender	TW:TaxonNameClassification:Latinized:PartOfSpeech	TW:TaxonNameRelationship:incertae_sedis_in_rank	TW:TaxonNameClassification:Iczn:Fossil
429149		429149	Formicinae	Animalia	Insecta	Hymenoptera	Formicidae					Subfamily	Latreille, 1802	valid	429149	1802	ICZN
429365	429149	429365	Camponotites	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Steinbach, 1967	incertae sedis	429365	1967	ICZN	masculine		Subfamily	true
495266	429149	429365	Rabidia	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Hong, 1984	synonym	495266	1984	ICZN	feminine			true
