taxonID	parentNameUsageID	parentNameUsage	acceptedNameUsageID	acceptedNameUsage	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsage	originalNameUsageID	namePublishedInYear	nomenclaturalCode
429612		Attini Smith, 1858	429612	Apterostigma Mayr, 1865	Apterostigma	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Mayr, 1865	valid	Apterostigma Mayr, 1865	429612	1865	ICZN
431330	429612	Apterostigma Mayr, 1865	431330	Apterostigma auriculatum Wheeler, 1925	Apterostigma auriculatum	Animalia	Insecta	Hymenoptera	Formicidae	Apterostigma		auriculatum		Species	Wheeler, 1925	valid	Apterostigma auriculatum Wheeler, 1925	431330	1925	ICZN
431389	429612	Apterostigma Mayr, 1865	431389	Apterostigma wasmannii Forel, 1892	Apterostigma wasmannii	Animalia	Insecta	Hymenoptera	Formicidae	Apterostigma		wasmannii		Species	Forel, 1892	valid	Apterostigma wasmannii Forel, 1892	431389	1892	ICZN
431358	431389	Apterostigma wasmannii Forel, 1892	431330	Apterostigma auriculatum Wheeler, 1925	Apterostigma wasmannii icta	Animalia	Insecta	Hymenoptera	Formicidae	Apterostigma		wasmannii	icta	Subspecies	Weber, 1937	synonym	Apterostigma wasmannii icta Weber, 1937	431358	1937	ICZN
