taxonID	parentNameUsageID	parentNameUsage	acceptedNameUsageID	acceptedNameUsage	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsage	originalNameUsageID	namePublishedInYear	nomenclaturalCode

429365			429365	Camponotites Steinbach, 1967	Camponotites	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Steinbach, 1967	valid	Camponotites Steinbach, 1967	429237	1967	ICZN
429237			429237	Oecophylla Smith, 1860	Oecophylla	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Smith, 1860	valid	Oecophylla Smith, 1860	429237	1860	ICZN


431887	429365	Camponotites Steinbach, 1967	507812	Oecophylla kraussei (Dlussky & Rasnitsyn, 1999)	Camponotites kraussei	Animalia	Insecta	Hymenoptera	Formicidae	Camponotites		kraussei		Species	Dlussky & Rasnitsyn, 1999	obsolete combination	Camponotites kraussei Dlussky & Rasnitsyn, 1999	431887	1999	ICZN
507812	429237	Oecophylla Smith, 1860	507812	Oecophylla kraussei (Dlussky & Rasnitsyn, 1999)	Oecophylla kraussei	Animalia	Insecta	Hymenoptera	Formicidae	Oecophylla		kraussei		Species	(Dlussky & Rasnitsyn, 1999)	valid	Camponotites kraussei Dlussky & Rasnitsyn, 1999	431887	1999	ICZN
