taxonID	parentNameUsageID	parentNameUsage	acceptedNameUsageID	acceptedNameUsage	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsage	originalNameUsageID	namePublishedInYear	nomenclaturalCode
429256		Camponotus Mayr, 1861	429256	Camponotus (Tanaemyrmex) Ashmead, 1905	Camponotus (Tanaemyrmex)	Animalia	Insecta	Hymenoptera	Formicidae	Camponotus				Subgenus	Ashmead, 1905	valid	Camponotus (Tanaemyrmex) Ashmead, 1905	429256	1905	ICZN
432079	429256	Camponotus (Tanaemyrmex) Ashmead, 1905	432079	Camponotus barbatus Roger, 1863	Camponotus barbatus	Animalia	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus (Tanaemyrmex)	barbatus		Species	Roger, 1863	valid	Camponotus barbatus Roger, 1863	432079	1863	ICZN
432080	429256	Camponotus (Tanaemyrmex) Ashmead, 1905	432084	Camponotus barbosus Baroni Urbani, 1971	Camponotus barbatus	Animalia	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus (Tanaemyrmex)	barbatus		Species	Menozzi, 1926	homonym	Camponotus barbatus Menozzi, 1926	432080	1926	ICZN
432084	429256	Camponotus (Tanaemyrmex) Ashmead, 1905	432084	Camponotus barbosus Baroni Urbani, 1971	Camponotus barbosus	Animalia	Insecta	Hymenoptera	Formicidae	Camponotus	Camponotus (Tanaemyrmex)	barbosus		Species	Baroni Urbani, 1971	valid	Camponotus barbosus Baroni Urbani, 1971	432084	1971	ICZN
