taxonID	parentNameUsageID	parentNameUsage	acceptedNameUsageID	acceptedNameUsage	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	originalNameUsage	originalNameUsageID	namePublishedInYear	nomenclaturalCode
429929			429929	Leptothorax Mayr, 1855	Leptothorax	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Mayr, 1855	valid		429929	1855	ICZN
429956			429956	Temnothorax Mayr, 1861	Temnothorax	Animalia	Insecta	Hymenoptera	Formicidae					Genus	Mayr, 1861	valid		429956	1861	ICZN
449543	449686	Temnothorax flavispinus (André, 1883)	449543	Temnothorax flavispinus amilcaris (Santschi, 1939)	Temnothorax flavispinus amilcaris	Animalia	Insecta	Hymenoptera	Formicidae	Temnothorax		flavispinus	amilcaris	Subspecies	(Santschi, 1939)	valid	Leptothorax flavispinus amilcaris Santschi, 1939	460533	1939	ICZN
449686	429956	Temnothorax Mayr, 1861	449686	Temnothorax flavispinus (André, 1883)	Temnothorax flavispinus	Animalia	Insecta	Hymenoptera	Formicidae	Temnothorax		flavispinus		Species	(André, 1883)	valid	Leptothorax nigrita flavispinus André, 1883	512016	1883	ICZN
460533	460669	Leptothorax flavispinus André, 1883	449543	Temnothorax flavispinus amilcaris (Santschi, 1939)	Leptothorax flavispinus amilcaris	Animalia	Insecta	Hymenoptera	Formicidae	Leptothorax		flavispinus	amilcaris	Subspecies	Santschi, 1939	obsolete combination	Leptothorax flavispinus amilcaris Santschi, 1939	460533	1939	ICZN
460669	429929	Leptothorax Mayr, 1855	449686	Temnothorax flavispinus (André, 1883)	Leptothorax flavispinus	Animalia	Insecta	Hymenoptera	Formicidae	Leptothorax		flavispinus		Species	André, 1883	obsolete combination	Leptothorax nigrita flavispinus André, 1883	512016	1883	ICZN
460829	429929	Leptothorax Mayr, 1855	449857	Temnothorax nigritus (Emery, 1878)	Leptothorax nigrita	Animalia	Insecta	Hymenoptera	Formicidae	Leptothorax		nigrita		Species	Emery, 1878	obsolete combination	Leptothorax nigrita Emery, 1878	460829	1878	ICZN
449857	429956	Temnothorax Mayr, 1861	449857	Temnothorax nigritus (Emery, 1878)	Temnothorax nigritus	Animalia	Insecta	Hymenoptera	Formicidae	Temnothorax		nigritus		Species	(Emery, 1878)	valid	Leptothorax nigrita Emery, 1878	460829	1878	ICZN
512016	460829	Leptothorax nigrita Emery, 1878	449686	Temnothorax flavispinus (André, 1883)	Leptothorax nigrita flavispinus	Animalia	Insecta	Hymenoptera	Formicidae	Leptothorax		nigrita	flavispinus	Subspecies	André, 1883	obsolete combination	Leptothorax nigrita flavispinus André, 1883	512016	1883	ICZN
